bathrooms,accommodates,distance_to_dam,beds,reviews_per_month,bedrooms,review_scores_cleanliness,review_scores_checkin,guests_included,review_scores_communication
1.0,2,1.21562597637,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,2.85717240645,2.0,1.58,1.0,10.0,10.0,1,10.0
1.0,2,2.60148414721,1.0,0.13,1.0,10.0,10.0,2,10.0
1.0,2,1.05172112509,1.0,2.14,1.0,8.0,10.0,1,10.0
1.0,2,1.33072804971,1.0,5.93,0.0,9.0,10.0,2,10.0
1.0,8,3.47332065108,3.0,0.0,3.0,0.0,0.0,6,0.0
1.0,2,2.77724850666,2.0,0.19,1.0,10.0,10.0,1,10.0
1.5,3,1.77352167271,2.0,0.32,3.0,10.0,10.0,1,10.0
1.5,4,7.11464890848,2.0,2.0,2.0,10.0,9.0,2,10.0
1.0,2,3.96705274192,1.0,0.5,1.0,9.0,10.0,1,9.0
1.0,4,2.47232353633,2.0,0.77,2.0,9.0,10.0,2,10.0
1.0,2,3.23951285201,2.0,2.5,0.0,10.0,10.0,1,10.0
1.0,2,4.26965484413,1.0,0.0,1.0,0.0,0.0,1,0.0
1.5,4,1.13288403311,2.0,0.04,1.0,8.0,6.0,2,6.0
1.0,2,2.46712688242,1.0,1.21,1.0,10.0,10.0,1,10.0
1.0,3,3.03974450496,2.0,2.34,2.0,10.0,10.0,2,10.0
1.5,4,2.24924036966,5.0,0.32,3.0,10.0,10.0,1,10.0
2.0,4,1.52603663885,2.0,1.0,2.0,10.0,10.0,1,10.0
1.0,2,3.66436994195,2.0,0.0,2.0,0.0,0.0,0,0.0
1.0,3,2.33550174465,3.0,0.21,2.0,9.0,10.0,1,10.0
1.0,2,0.371123530187,1.0,1.0,1.0,10.0,10.0,1,10.0
1.0,3,2.93497099096,2.0,3.13,2.0,10.0,10.0,1,10.0
1.0,2,2.66927680212,1.0,1.0,1.0,10.0,10.0,1,10.0
1.0,2,1.00452379789,1.0,2.1,1.0,10.0,10.0,2,10.0
1.0,3,3.07513575118,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,1.0838962709,1.0,1.0,0.0,10.0,10.0,2,10.0
2.0,4,1.76499844037,2.0,0.0,2.0,0.0,0.0,2,0.0
1.0,3,2.63570501823,2.0,1.8,0.0,9.0,10.0,2,10.0
1.0,3,2.39484965415,2.0,1.79,1.0,9.0,9.0,2,9.0
1.0,1,2.36081937366,1.0,0.93,1.0,9.0,10.0,1,10.0
1.0,2,1.18984991227,1.0,0.3,2.0,10.0,10.0,2,10.0
1.0,4,2.53436090913,2.0,0.33,2.0,8.0,10.0,0,10.0
1.5,5,1.46717399194,2.0,0.9,2.0,10.0,10.0,1,10.0
2.0,4,3.67910203804,2.0,2.78,2.0,9.0,10.0,2,10.0
1.0,4,0.752280644492,3.0,2.54,1.0,10.0,10.0,4,10.0
1.5,4,2.92551372796,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,3.27635346552,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,2.99953482227,2.0,3.91,2.0,9.0,9.0,2,10.0
1.5,4,1.87020296167,2.0,1.0,1.0,8.0,10.0,1,10.0
1.0,4,2.61274318086,3.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,2.55664236078,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,3.6915397165,1.0,1.64,1.0,10.0,10.0,1,10.0
1.0,2,1.90166995028,1.0,0.46,1.0,10.0,10.0,1,10.0
1.0,2,2.41385783754,1.0,1.68,1.0,10.0,10.0,2,10.0
1.0,2,2.18267485156,1.0,0.13,1.0,10.0,10.0,1,10.0
0.0,2,0.944335375817,1.0,0.88,1.0,9.0,10.0,2,10.0
1.0,2,3.60772742589,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,1,1.95634859011,1.0,0.94,0.0,8.0,10.0,1,10.0
1.0,2,3.1349920756,1.0,0.99,1.0,10.0,10.0,1,10.0
1.5,2,2.85824090816,1.0,4.15,1.0,9.0,10.0,1,10.0
1.0,2,2.62330519128,1.0,1.32,1.0,10.0,10.0,1,10.0
1.0,2,2.88221236686,2.0,0.12,1.0,10.0,10.0,1,10.0
1.0,4,1.96561614287,2.0,0.21,1.0,10.0,9.0,2,10.0
1.0,1,1.69386390707,1.0,4.66,1.0,9.0,10.0,1,10.0
1.0,4,1.48099934117,2.0,0.0,1.0,0.0,0.0,2,0.0
1.0,3,1.84375393053,1.0,4.91,1.0,10.0,10.0,2,10.0
1.0,4,4.27688976153,2.0,1.0,2.0,10.0,10.0,1,10.0
1.0,4,2.18618308183,2.0,0.31,2.0,10.0,9.0,2,10.0
1.0,3,2.52621158946,1.0,0.19,3.0,6.0,10.0,1,10.0
1.0,2,0.952754526003,1.0,2.71,1.0,10.0,10.0,1,10.0
1.0,2,2.73642511239,1.0,0.1,1.0,10.0,10.0,1,10.0
1.5,2,1.92188141638,1.0,1.0,1.0,10.0,10.0,1,10.0
1.0,2,0.922557083944,1.0,0.41,1.0,9.0,10.0,1,9.0
1.0,2,2.59142903816,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,9.44289357158,1.0,3.08,1.0,10.0,10.0,1,10.0
1.0,2,3.25994585911,1.0,0.4,1.0,10.0,10.0,0,10.0
1.0,2,1.99327085904,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,3.39596363012,2.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,3.33052088772,1.0,0.31,1.0,10.0,10.0,1,10.0
1.0,2,2.14361030291,1.0,1.24,2.0,10.0,10.0,2,9.0
1.0,2,3.08416114188,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,3.64356742739,1.0,0.5,1.0,10.0,10.0,1,10.0
1.0,4,0.497288800049,3.0,1.0,2.0,10.0,10.0,1,10.0
1.0,2,0.881096729951,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,2.28159907408,1.0,0.28,1.0,10.0,10.0,1,10.0
1.0,4,2.94242844221,4.0,1.0,2.0,0.0,0.0,1,0.0
1.0,2,3.31637806802,1.0,3.0,1.0,9.0,10.0,1,10.0
1.0,2,3.99341510404,1.0,0.71,1.0,10.0,10.0,1,10.0
1.0,2,4.1382993621,1.0,0.66,1.0,10.0,10.0,1,10.0
1.0,3,1.40511476482,2.0,0.24,1.0,10.0,10.0,1,10.0
1.5,4,3.39915206808,2.0,1.99,2.0,9.0,9.0,2,9.0
1.0,4,1.36816176064,4.0,3.69,2.0,10.0,10.0,0,10.0
1.0,2,4.0614706398,1.0,0.11,2.0,10.0,9.0,2,8.0
1.0,2,6.51464257258,1.0,0.49,1.0,9.0,9.0,0,9.0
1.0,2,2.64661894028,1.0,1.9,1.0,10.0,9.0,1,10.0
1.0,2,1.38851776689,1.0,0.12,1.0,10.0,10.0,1,10.0
1.0,4,3.45042619633,2.0,0.25,2.0,8.0,10.0,1,10.0
1.0,3,1.87794319975,2.0,0.64,2.0,10.0,10.0,3,10.0
1.0,2,1.69846080812,1.0,0.12,1.0,10.0,10.0,1,10.0
1.0,2,1.21873616889,1.0,2.07,1.0,10.0,8.0,1,9.0
1.0,2,1.31258524414,1.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,2.27198385596,1.0,0.31,1.0,10.0,10.0,1,10.0
1.0,2,1.33624803181,1.0,4.79,0.0,10.0,10.0,1,10.0
1.0,4,1.4468632277,2.0,1.3,2.0,10.0,10.0,2,10.0
1.0,4,3.04259410808,3.0,0.0,3.0,0.0,0.0,1,0.0
1.5,4,0.857118472592,2.0,0.16,1.0,10.0,9.0,2,9.0
1.0,2,6.95592144337,2.0,0.23,1.0,9.0,9.0,1,9.0
1.0,4,1.41892774837,2.0,0.22,1.0,10.0,9.0,1,9.0
1.0,2,2.89614859445,1.0,0.1,1.0,0.0,0.0,1,0.0
1.0,4,2.8690873503,2.0,0.74,2.0,9.0,10.0,2,10.0
1.0,2,2.30430221414,1.0,0.0,1.0,0.0,0.0,1,0.0
2.0,4,2.18167823384,4.0,0.95,2.0,10.0,10.0,2,10.0
1.0,2,3.90591103075,1.0,0.14,1.0,10.0,10.0,1,10.0
1.0,4,1.96071908016,3.0,1.0,2.0,10.0,10.0,1,10.0
1.0,2,3.0783012398,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,3.55432703928,3.0,1.19,2.0,10.0,10.0,2,10.0
1.5,2,3.60946010762,1.0,2.2,2.0,9.0,9.0,2,9.0
0.5,1,4.67129391951,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,2.86156910034,1.0,3.19,1.0,9.0,10.0,1,10.0
1.0,2,2.97879244141,2.0,0.5,1.0,9.0,10.0,2,9.0
1.0,4,2.50042086616,2.0,1.75,1.0,9.0,9.0,2,9.0
1.5,2,2.72509365363,1.0,0.87,1.0,9.0,9.0,1,10.0
1.0,2,2.6054101224,1.0,0.41,1.0,9.0,10.0,1,10.0
1.0,4,3.15857642378,2.0,0.36,1.0,9.0,9.0,3,10.0
1.0,4,3.17745505196,3.0,1.38,2.0,10.0,10.0,0,10.0
1.0,2,3.25926129065,1.0,0.21,1.0,8.0,10.0,1,9.0
1.0,2,0.707373998278,2.0,1.08,1.0,8.0,9.0,2,9.0
1.0,1,7.99206827668,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,1.97583373576,4.0,1.66,0.0,9.0,10.0,2,10.0
1.0,2,4.91347905797,1.0,0.08,1.0,8.0,6.0,1,6.0
1.0,2,2.43073034801,1.0,0.87,1.0,9.0,10.0,1,10.0
1.0,2,1.87753752221,1.0,0.54,1.0,9.0,6.0,1,9.0
1.0,2,2.0018377928,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,9.30341413806,2.0,0.41,1.0,10.0,10.0,2,10.0
1.0,4,3.06113872466,2.0,0.85,0.0,9.0,10.0,1,10.0
1.0,2,7.31042057848,1.0,1.06,1.0,9.0,10.0,1,10.0
1.0,4,2.43506413117,2.0,2.89,1.0,9.0,9.0,1,10.0
1.0,2,2.37813247504,1.0,0.35,1.0,10.0,10.0,1,10.0
1.0,4,0.433131924399,4.0,1.61,2.0,9.0,9.0,1,9.0
1.0,2,2.78059256662,1.0,0.62,1.0,10.0,10.0,1,10.0
1.0,2,1.62157078343,1.0,6.02,1.0,9.0,10.0,2,10.0
1.5,2,0.622111049019,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.46456021806,1.0,0.63,1.0,9.0,10.0,2,10.0
1.0,4,2.37777340486,1.0,1.0,1.0,10.0,10.0,2,10.0
1.0,2,1.40825177672,1.0,0.87,1.0,8.0,9.0,1,10.0
1.0,7,3.97406469299,5.0,0.49,3.0,10.0,10.0,4,10.0
1.0,2,1.44079541288,1.0,0.76,1.0,10.0,10.0,1,10.0
1.0,2,2.13721922749,1.0,1.0,1.0,10.0,10.0,1,10.0
1.0,2,3.03020474503,1.0,0.27,1.0,10.0,10.0,2,10.0
1.0,2,7.73764295413,2.0,5.0,1.0,9.0,10.0,1,10.0
1.0,2,2.0322985209,1.0,2.43,1.0,9.0,10.0,1,10.0
1.0,1,3.15714135183,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,0.442048477618,1.0,0.46,1.0,10.0,10.0,2,10.0
1.0,2,3.23926480447,1.0,0.16,1.0,10.0,9.0,1,9.0
1.0,2,3.13359562405,1.0,1.3,1.0,10.0,10.0,2,10.0
1.5,4,4.01501922631,2.0,1.19,2.0,10.0,10.0,1,9.0
1.0,1,2.19981338534,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.91766449595,1.0,1.3,1.0,10.0,10.0,0,10.0
1.0,4,1.88170225009,2.0,1.76,2.0,9.0,10.0,4,10.0
0.5,2,3.92408746655,1.0,0.72,1.0,9.0,9.0,1,9.0
1.0,2,2.08307649198,2.0,0.47,1.0,10.0,10.0,2,10.0
1.0,2,1.52260532763,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,3,1.95514155171,1.0,0.51,1.0,9.0,10.0,1,10.0
1.0,4,6.79577344301,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,3.35476267121,1.0,0.3,1.0,10.0,10.0,1,10.0
1.0,4,2.22677369446,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,4,2.87413137074,3.0,0.63,1.0,8.0,10.0,2,10.0
1.0,4,1.53976208094,2.0,3.18,1.0,8.0,9.0,1,10.0
1.0,3,2.13901957144,2.0,2.24,2.0,9.0,9.0,1,9.0
1.0,3,3.09557682738,1.0,0.29,1.0,10.0,10.0,2,10.0
1.0,1,2.65854010652,1.0,1.53,1.0,9.0,10.0,1,9.0
1.0,2,3.39517236004,1.0,2.78,0.0,10.0,10.0,1,10.0
1.0,3,1.81090471564,2.0,2.69,1.0,10.0,10.0,1,10.0
1.0,2,3.0289338838,1.0,0.73,1.0,10.0,10.0,1,10.0
1.0,2,2.37524784709,1.0,4.44,1.0,10.0,10.0,1,10.0
1.0,4,5.16862677174,4.0,0.0,1.0,0.0,0.0,2,0.0
1.0,2,4.10751731939,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,2.50397332871,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,4,2.58595874372,2.0,1.43,2.0,10.0,10.0,2,10.0
1.0,2,3.35811319668,1.0,0.71,1.0,9.0,10.0,1,10.0
1.0,2,2.40960200901,1.0,3.21,1.0,10.0,9.0,1,10.0
1.0,2,2.61080457075,1.0,0.93,1.0,10.0,10.0,1,10.0
1.0,4,1.43222922814,4.0,0.08,2.0,10.0,10.0,1,10.0
1.0,4,3.65752303555,2.0,0.58,2.0,10.0,10.0,1,9.0
