bathrooms,accommodates,distance_to_dam,beds,reviews_per_month,bedrooms,review_scores_cleanliness,review_scores_checkin,guests_included,review_scores_communication
1.0,4,1.80319966821,4.0,1.42,2.0,10.0,10.0,2,10.0
1.0,2,2.28999192182,1.0,1.38,2.0,10.0,10.0,1,10.0
1.0,2,0.623142123401,1.0,1.18,1.0,10.0,10.0,2,10.0
1.0,2,2.96737131739,1.0,0.92,1.0,9.0,9.0,1,10.0
1.0,2,2.07497209721,2.0,2.05,1.0,9.0,10.0,1,10.0
1.5,4,2.33011812629,2.0,3.0,1.0,10.0,10.0,2,10.0
1.0,4,2.2161680877,2.0,1.0,2.0,0.0,0.0,1,0.0
1.0,4,3.24356851971,2.0,0.75,2.0,9.0,10.0,2,10.0
1.0,2,1.87259689271,1.0,0.09,1.0,9.0,10.0,1,10.0
1.0,2,2.73228427195,1.0,0.88,1.0,9.0,10.0,1,9.0
2.0,2,4.04584811197,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.00104805056,1.0,2.81,1.0,10.0,10.0,1,10.0
1.0,2,2.52012654651,1.0,0.93,1.0,7.0,10.0,2,10.0
1.0,2,2.98254174189,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,3,1.81139771562,2.0,2.59,1.0,10.0,10.0,1,10.0
1.0,4,3.63575046195,2.0,0.44,1.0,0.0,0.0,2,0.0
1.0,1,1.89452603457,1.0,0.39,1.0,10.0,10.0,1,8.0
1.0,2,1.46661275803,1.0,0.41,1.0,8.0,10.0,1,10.0
1.0,2,1.73374093396,1.0,3.17,1.0,9.0,9.0,1,10.0
1.0,2,3.54373934011,1.0,0.29,1.0,10.0,10.0,2,10.0
1.0,4,2.34035228408,2.0,3.0,1.0,10.0,10.0,1,10.0
1.5,2,2.29195404377,1.0,0.64,1.0,10.0,10.0,1,10.0
1.0,2,2.30870301409,1.0,5.87,1.0,10.0,10.0,1,10.0
1.0,4,0.969218734293,2.0,0.16,2.0,10.0,10.0,2,10.0
1.0,2,3.87182272588,1.0,0.89,1.0,10.0,9.0,1,9.0
1.0,4,3.07195999786,2.0,0.92,2.0,10.0,9.0,3,9.0
1.0,2,3.06713504697,1.0,1.31,1.0,9.0,9.0,2,9.0
1.0,2,1.52927027398,2.0,0.96,1.0,10.0,10.0,1,10.0
1.0,3,3.97271328538,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,4,0.772620307191,4.0,2.14,2.0,10.0,10.0,2,10.0
1.0,4,1.20997456649,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,4,2.41019177162,2.0,1.61,1.0,10.0,10.0,2,10.0
1.0,2,1.99715629683,1.0,2.2,1.0,7.0,9.0,1,9.0
1.5,4,0.950008908878,2.0,0.33,2.0,10.0,10.0,2,10.0
1.5,4,1.59887565753,4.0,0.63,2.0,10.0,9.0,1,9.0
1.5,2,1.09182824338,1.0,1.0,1.0,10.0,10.0,1,10.0
1.0,2,3.31794316831,1.0,1.55,1.0,10.0,10.0,1,10.0
1.0,2,2.98461305115,1.0,0.0,0.0,0.0,0.0,1,0.0
1.0,4,3.35006353489,4.0,1.97,1.0,9.0,9.0,1,9.0
1.0,3,2.7362093377,1.0,0.37,1.0,9.0,10.0,2,10.0
1.0,2,1.73327658668,1.0,0.12,1.0,8.0,10.0,2,10.0
1.0,2,2.77177515632,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.9275799835,1.0,0.41,1.0,10.0,10.0,1,10.0
1.0,3,1.10626525192,2.0,1.9,0.0,9.0,10.0,2,10.0
1.0,2,2.99920222016,1.0,1.61,1.0,7.0,9.0,0,10.0
1.0,2,2.10817312695,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,3.28237652418,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,2.34125381279,1.0,0.17,1.0,10.0,10.0,1,10.0
1.0,4,1.44559909237,2.0,2.5,1.0,10.0,10.0,2,10.0
1.5,5,2.31442914263,3.0,0.41,3.0,9.0,10.0,2,9.0
1.0,2,3.38361382814,1.0,0.72,1.0,9.0,10.0,1,9.0
1.0,3,2.28017441101,2.0,0.0,1.0,0.0,0.0,2,0.0
1.0,2,2.15729242285,1.0,1.71,1.0,10.0,9.0,2,10.0
1.0,4,2.21331153479,2.0,1.26,1.0,10.0,10.0,2,10.0
