accommodates,bathrooms,cleaning_fee,distance_to_dam,bedrooms,minimum_nights,review_scores_location,beds,reviews_per_month,review_scores_communication
2.8,2.13,1.51282051282,2.36328527291,2.8,1.0,10.0,2.13,3.20408163265,10.0
2.2,2.13,1.0,3.99150360453,1.9,1.01801801802,9.1,2.6875,3.20408163265,10.0
2.8,2.13,1.0,2.39572605561,2.8,1.0,8.2,3.25,1.04408163265,10.0
3.4,2.13,1.84615384615,3.42378990731,2.8,1.00900900901,1.0,1.5625,1.0,1.0
2.8,3.8125,5.61538461538,1.95545829042,3.7,1.01801801802,10.0,2.6875,1.56571428571,10.0
1.6,2.13,1.76923076923,3.51725025747,1.9,1.01801801802,9.1,1.5625,1.15428571429,9.1
1.6,2.13,1.17948717949,7.7693099897,1.9,1.01801801802,9.1,1.5625,4.34285714286,10.0
1.6,2.13,1.25641025641,2.84449021627,1.9,1.0,9.1,2.13,1.6906122449,9.1
1.6,2.13,1.97435897436,3.00205973223,1.9,1.00900900901,10.0,1.5625,2.4693877551,10.0
1.6,2.13,1.0,4.7113800206,1.9,1.02702702703,1.0,1.5625,1.0,1.0
2.8,3.25,2.28205128205,1.78475798146,2.8,1.00900900901,10.0,2.13,1.49224489796,10.0
2.8,2.13,1.76923076923,2.57646755922,2.8,1.02702702703,9.1,2.13,1.30857142857,9.1
1.6,2.13,1.0,2.16091658084,1.9,1.08108108108,9.1,1.5625,1.11755102041,10.0
1.0,1.0,1.0,3.33264675592,1.9,1.0,1.0,1.5625,1.0,1.0
1.6,2.13,1.0,3.06694129763,1.9,1.00900900901,8.2,1.5625,1.06612244898,10.0
1.6,2.6875,1.0,2.59114315139,1.9,1.05405405405,1.0,1.5625,1.0,1.0
1.6,2.13,1.51282051282,3.69104016478,1.9,1.00900900901,8.2,1.5625,2.36653061224,9.1
2.8,2.6875,1.89743589744,1.18846549949,2.8,1.00900900901,10.0,2.13,2.76326530612,10.0
1.6,2.13,1.89743589744,2.92945417096,1.9,1.00900900901,10.0,1.5625,1.0587755102,10.0
1.6,2.13,2.15384615385,4.33058702369,1.9,1.01801801802,8.2,2.13,1.19102040816,9.1
1.0,2.13,1.0,3.38285272915,1.9,1.00900900901,1.0,1.5625,1.0,1.0
1.6,2.13,1.12820512821,2.70854788877,1.9,1.0,9.1,1.5625,4.1812244898,10.0
3.4,2.13,1.0,4.19155509784,2.8,1.01801801802,10.0,3.8125,2.55020408163,10.0
1.6,2.13,1.51282051282,2.47142121524,1.9,1.00900900901,8.2,1.5625,1.47020408163,9.1
1.6,2.13,1.25641025641,2.88388259526,1.9,1.00900900901,10.0,1.5625,1.16163265306,10.0
1.6,2.13,1.0,3.77523171988,1.9,1.01801801802,8.2,2.13,3.02040816327,10.0
1.6,2.13,1.51282051282,2.88311019567,1.9,1.00900900901,9.1,1.5625,1.19102040816,10.0
