"accommodates" "bathrooms" "cleaning_fee" "distance_to_dam" "bedrooms" "prices"
2.8 2.125 1.51282051282051 2.36328527291452 2.8 199
2.2 2.125 1 3.99150360453141 1.9 99
2.8 2.125 1 2.39572605561277 2.8 115
3.4 2.125 1.84615384615385 3.42378990731205 2.8 200
2.8 3.8125 5.61538461538461 1.95545829042225 3.7 297
1.6 2.125 1.76923076923077 3.51725025746653 1.9 80
1.6 2.125 1.17948717948718 7.76930998970134 1.9 45
1.6 2.125 1.25641025641026 2.84449021627189 1.9 97
1.6 2.125 1.97435897435897 3.00205973223481 1.9 99
1.6 2.125 1 4.71138002059732 1.9 80
2.8 3.25 2.28205128205128 1.78475798146241 2.8 210
2.8 2.125 1.76923076923077 2.5764675592173 2.8 111
1.6 2.125 1 2.16091658084449 1.9 90
1 1 1 3.33264675592173 1.9 42
1.6 2.125 1 3.06694129763131 1.9 75
1.6 2.6875 1 2.59114315139032 1.9 171
1.6 2.125 1.51282051282051 3.69104016477858 1.9 80
2.8 2.6875 1.8974358974359 1.18846549948507 2.8 300
1.6 2.125 1.8974358974359 2.92945417095778 1.9 100
1.6 2.125 2.15384615384615 4.33058702368692 1.9 70
1 2.125 1 3.38285272914521 1.9 99
1.6 2.125 1.12820512820513 2.70854788877446 1.9 45
3.4 2.125 1 4.19155509783728 2.8 137
1.6 2.125 1.51282051282051 2.47142121524202 1.9 111
1.6 2.125 1.25641025641026 2.88388259526262 1.9 70
1.6 2.125 1 3.77523171987642 1.9 45
1.6 2.125 1.51282051282051 2.88311019567456 1.9 89
2.8 2.125 1 1.85195674562307 1.9 200
2.8 2.6875 2.02564102564103 1.64804325437693 1.9 130
2.2 2.125 1.8974358974359 2.88851699279094 1.9 134
2.2 2.125 1.64102564102564 4.91529351184346 1.9 90
1.6 2.6875 2.28205128205128 2.72090628218332 1.9 171
2.2 2.125 2.15384615384615 2.09217301750772 1.9 175
2.8 2.125 1.8974358974359 1.32131822863028 2.8 210
2.8 2.6875 1.8974358974359 2.05973223480947 1.9 129
2.8 2.125 2.28205128205128 2.37950566426365 1.9 139
1.6 2.125 1 3.3264675592173 1.9 82
1 2.125 1.25641025641026 4.27729145211123 1.9 37
1.6 2.125 1.8974358974359 3.25926879505664 1.9 100
2.8 2.6875 2.02564102564103 2.69850669412976 4.6 230
2.8 2.125 1.8974358974359 1.26338825952626 2.8 251
2.8 2.125 2.28205128205128 2.20648815653965 2.8 165
10 3.25 4.2051282051282 3.08547888774459 6.4 399
2.8 2.125 1.64102564102564 2.78347064881565 2.8 95
1.6 2.6875 1.8974358974359 2.37178166838311 1.9 111
1.6 2.125 1.25641025641026 4.32363542739444 1 50
2.2 2.125 1.76923076923077 2.45056642636457 1.9 74
1.6 2.125 1 1.32672502574665 1.9 111
1.6 2.125 1.64102564102564 3.7273429454171 1.9 80
2.8 2.6875 2.28205128205128 1.74922760041195 1.9 155
2.8 2.125 1.94871794871795 2.80895983522142 2.8 181
