,bathrooms,bedrooms,beds,accommodates,guests_included,distance_to_dam,distance_to_metro,review_scores_accuracy,review_scores_location,review_scores_value
11493,1.0,1.0,1.0,2,1,1.33163764621,1.77452210373,10.0,10.0,10.0
8996,1.0,1.0,1.0,2,1,3.7713823782,0.787598720471,0.0,0.0,0.0
6746,1.0,1.0,1.0,2,1,2.18301550192,1.9151054366,10.0,10.0,10.0
5342,1.5,1.0,2.0,4,2,2.7397909652,0.91818269094,10.0,9.0,9.0
8331,1.0,1.0,1.0,2,0,1.91180958152,0.54632874264,10.0,10.0,10.0
8825,1.0,1.0,1.0,2,2,2.54883541808,1.40953648083,10.0,10.0,9.0
10629,1.0,1.0,1.0,2,1,2.35314988436,1.79842206997,10.0,9.0,9.0
1020,1.0,2.0,2.0,4,2,6.91326284231,3.65384127297,0.0,0.0,0.0
12424,1.0,1.0,1.0,2,1,3.03421221549,1.43109616718,10.0,9.0,9.0
12764,1.0,3.0,3.0,4,1,2.39293480029,1.42811257801,10.0,10.0,9.0
4443,1.0,3.0,3.0,5,2,2.10734299386,1.59425451672,9.0,9.0,9.0
6421,1.0,1.0,1.0,2,2,2.32967954241,1.80366129431,10.0,8.0,8.0
10214,1.0,2.0,2.0,4,2,2.20611743497,2.25224231816,8.0,10.0,8.0
12125,1.0,1.0,2.0,3,1,2.15825981792,2.06331633799,10.0,10.0,9.0
12232,1.0,1.0,1.0,2,1,2.21483675314,1.72843167824,9.0,9.0,8.0
6558,1.0,2.0,3.0,4,1,1.92046328003,1.94692510454,10.0,9.0,9.0
11778,1.0,1.0,1.0,2,2,2.82035295922,1.15373235398,10.0,9.0,10.0
2219,1.0,1.0,1.0,2,1,1.24015036774,1.27668364322,10.0,9.0,10.0
5381,1.0,1.0,1.0,2,1,2.55738593258,0.132272006835,0.0,0.0,0.0
7344,1.0,1.0,1.0,2,1,3.54639107402,0.685613236814,10.0,9.0,10.0
6028,1.0,0.0,1.0,2,1,4.11399839022,0.0177914678178,0.0,0.0,0.0
7675,1.0,1.0,1.0,2,1,3.70603214715,1.04584882361,0.0,0.0,0.0
2110,1.0,1.0,1.0,2,2,0.928526368324,1.44902285448,9.0,10.0,9.0
8345,1.0,2.0,2.0,4,2,1.82329245594,0.790838065655,10.0,10.0,9.0
