"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"11078",1,2.90860497682,2,10,9,1,1,1,5.16,9
"11079",1,2.20357220615,2,10,9,2,1,1,1.6,9
"11080",1,1.61425996473,2,10,10,2,1,1,1.9,10
"11081",3,1.97728254851,6,10,9,2,1,3,0.74,9
"11082",2,1.82031750455,3,9,10,1,1,2,0.74,10
"11083",1,2.61960712247,2,10,8,2,1,1,0.87,8
"11084",1,2.46394991175,2,10,8,3,1,1,0.9,9
"11085",0,2.51964128956,2,10,10,3,1,1,1.56,10
"11086",2,1.84260005761,4,0,0,2,1.5,2,0,0
"11087",2,2.49352678587,4,10,9,2,1,2,1.3,9
"11088",1,2.77068365956,1,0,0,4,1,1,0,0
"11089",1,1.94127128196,4,10,10,1,1,2,0.8,9
"11090",3,1.28110661909,4,0,0,4,1.5,4,0,0
"11091",2,2.93804313833,4,10,10,3,1,2,1.26,10
"11092",1,1.98478959114,4,10,9,1,1.5,1,1.66,9
"11093",2,1.58973911846,4,10,10,1,1.5,2,1.26,10
"11094",1,1.85248195812,2,10,9,1,1,1,5,10
"11095",1,2.50397332871,2,0,0,1,1,1,0,0
"11096",2,2.10859392949,3,10,9,1,1,1,0.94,9
"11097",2,2.34397863441,2,9,9,3,1,1,0.82,9
"11098",1,2.1985349773,2,10,9,4,1,1,1.57,9
"11099",1,3.09020620893,2,9,8,3,1.5,2,3.15,9
"11100",1,1.98575079712,1,10,10,1,1,1,0.55,9
"11101",1,2.42512123581,2,10,9,2,1,1,4.17,10
"11102",1,2.47220852966,2,0,0,4,1,1,0,0
"11103",1,2.56717878599,3,10,9,1,1,2,0.8,9
"11104",1,2.38410771318,1,10,9,1,1,1,3,10
"11105",3,2.2037354013,4,10,9,2,1,4,0.46,10
"11106",2,2.96598603895,6,10,9,3,1,2,0.21,9
"11107",1,1.35064577721,2,10,8,2,1,1,0.03,8
"11108",1,1.96627036073,2,9,9,2,1,1,1.11,8
"11109",1,1.82277986538,2,10,9,2,1,1,3.05,9
