"","x"
"1",97
"2",100
"3",100
"4",175
"5",171
"6",95
"7",99
"8",100
"9",130
"10",181
"11",30
"12",125
"13",129
"14",195
"15",90
"16",200
"17",70
"18",120
"19",114
"20",120
"21",86
"22",80
"23",25
"24",75
"25",69
"26",80
"27",80
"28",200
"29",145
"30",100
"31",89
"32",98
"33",120
"34",160
"35",65
"36",120
"37",120
"38",79
"39",70
"40",90
"41",90
"42",125
"43",115
"44",69
"45",90
"46",99
"47",114
"48",199
"49",200
"50",200
"51",105
"52",120
"53",90
"54",99
"55",270
"56",150
"57",160
"58",25
"59",220
"60",169
"61",80
"62",99
"63",25
"64",80
"65",200
"66",238
"67",59
"68",110
"69",120
"70",86
"71",146
"72",120
"73",120
"74",350
"75",140
"76",128
"77",97
"78",85
"79",70
"80",90
"81",150
"82",95
"83",65
"84",93
"85",25
"86",100
"87",136
"88",140
"89",115
"90",89
"91",80
"92",90
"93",59
"94",85
"95",200
"96",99
"97",95
"98",35
"99",65
"100",84
"101",140
"102",80
"103",100
"104",150
"105",99
"106",55
"107",70
"108",175
"109",95
"110",155
"111",120
"112",99
"113",160
"114",79
"115",70
"116",60
"117",120
"118",120
"119",120
"120",115
"121",75
"122",100
"123",146
"124",99
"125",100
"126",140
"127",160
"128",125
"129",65
"130",99
"131",99
"132",251
"133",130
"134",111
"135",111
"136",210
"137",95
"138",84
"139",139
"140",120
"141",149
"142",80
"143",136
"144",159
"145",276
"146",89
"147",90
"148",100
"149",79
"150",99
"151",130
"152",45
"153",140
"154",105
"155",95
"156",80
"157",125
"158",59
"159",50
"160",59
"161",175
"162",130
"163",85
"164",195
"165",180
"166",75
"167",191
"168",60
"169",87
"170",115
"171",99
"172",136
"173",111
"174",99
"175",100
"176",150
"177",59
"178",95
"179",160
"180",150
"181",171
"182",120
"183",97
"184",120
"185",95
"186",125
"187",120
"188",651
"189",65
"190",150
"191",125
"192",70
"193",120
"194",130
"195",35
"196",140
"197",150
"198",130
"199",210
"200",125
"201",89
"202",140
"203",230
"204",90
"205",200
"206",80
"207",150
"208",89
"209",78
"210",100
"211",70
"212",85
"213",99
"214",99
"215",99
