host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_identity_verified,accommodates,bathrooms,bedrooms,beds,amenities,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month,distance_to_dam,has_metro
4,0,0,1.0,1,2,1.0,0.0,1.0,7,15.0,1,0.0,2,30,0,0,0,0,2,100.0,10.0,10.0,10.0,10.0,8.0,10.0,0,0,1,0.14,2.89816297974,0
1,100,94,3.0,0,4,2.0,2.0,4.0,20,0,1,0.0,3,28,0,0,0,183,10,87.0,8.0,8.0,9.0,9.0,8.0,8.0,0,1,3,0.29,2.20837793871,0
3,100,60,1.0,1,4,1.0,3.0,3.0,16,30.0,2,30.0,4,30,2,3,3,3,8,95.0,10.0,10.0,9.0,10.0,9.0,10.0,0,2,1,1.48,4.50027779497,0
3,70,25,1.0,0,2,1.0,1.0,1.0,15,25.0,1,0.0,1,16,8,21,30,304,11,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0.42,2.59221872898,0
1,100,100,2.0,1,2,1.0,1.0,1.0,11,0,1,15.0,3,30,6,16,37,312,87,87.0,9.0,9.0,9.0,9.0,10.0,8.0,0,2,2,2.56,0.83268058563,0
2,100,0,2.0,0,4,1.0,1.0,4.0,16,50.0,2,10.0,4,28,30,60,90,180,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0.0,3.18382493852,0
2,100,84,1.0,0,2,1.0,1.0,1.0,8,35.0,2,20.0,1,4,3,23,51,326,126,96.0,10.0,9.0,10.0,10.0,9.0,9.0,0,2,1,2.71,2.08591599593,0
1,100,100,1.0,1,2,1.0,1.0,2.0,17,15.0,1,5.0,1,30,1,8,21,275,160,95.0,10.0,10.0,10.0,10.0,9.0,9.0,1,1,1,4.67,2.87621530474,0
2,100,0,2.0,0,2,0.0,1.0,1.0,8,0,2,83.0,2,30,14,31,56,320,1,97.0,10.0,10.0,10.0,10.0,10.0,8.0,1,2,2,0.02,0.513122070689,0
3,80,90,1.0,0,4,1.0,2.0,2.0,16,35.0,1,11.0,2,30,3,4,22,147,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,1,1.0,1.46527492281,0
1,100,96,4.0,0,2,1.0,0.0,1.0,5,25.0,1,10.0,1,30,3,6,17,276,53,90.0,9.0,9.0,10.0,10.0,9.0,9.0,0,2,3,5.78,3.34714205401,0
2,100,100,1.0,1,2,1.0,1.0,1.0,16,0,1,0.0,3,30,0,0,0,39,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,1,0.81,2.12246394567,1
2,90,50,1.0,0,2,1.0,1.0,1.0,16,25.0,1,0.0,2,30,19,49,79,354,41,93.0,10.0,9.0,10.0,9.0,9.0,9.0,0,1,1,2.69,2.80935145148,0
2,100,60,1.0,1,2,1.0,1.0,1.0,11,0,1,0.0,2,30,2,2,2,185,16,100.0,10.0,10.0,10.0,10.0,10.0,9.0,0,2,1,0.62,1.29866348712,0
3,88,84,3.0,0,4,1.5,1.0,2.0,14,35.0,2,45.0,1,30,14,37,60,118,18,64.0,7.0,6.0,8.0,7.0,8.0,7.0,0,2,3,3.09,3.0646766738,0
2,80,100,1.0,0,2,1.0,1.0,1.0,13,0,1,0.0,11,30,2,2,2,2,12,83.0,9.0,7.0,10.0,10.0,8.0,8.0,0,2,1,0.56,3.15210246875,0
3,80,83,2.0,0,2,1.0,1.0,1.0,14,25.0,1,25.0,3,30,5,35,60,335,9,100.0,10.0,10.0,10.0,10.0,9.0,9.0,0,0,2,0.21,2.02490152481,0
3,60,100,1.0,0,2,1.0,1.0,1.0,16,0,1,0.0,3,30,0,0,0,0,11,92.0,10.0,10.0,9.0,9.0,9.0,9.0,0,0,1,0.47,3.48081753479,0
2,100,100,1.0,1,2,1.0,1.0,1.0,19,50.0,1,0.0,3,9,5,5,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0.0,3.18192309953,1
1,100,100,1.0,1,2,1.0,1.0,2.0,18,25.0,1,0.0,2,30,22,52,82,353,6,87.0,9.0,9.0,9.0,10.0,10.0,8.0,1,2,1,1.18,0.433410980014,0
3,75,67,1.0,1,2,1.0,1.0,1.0,10,40.0,2,25.0,2,30,2,32,55,330,51,93.0,9.0,9.0,9.0,9.0,10.0,9.0,0,2,1,1.29,1.61601726245,0
1,100,100,1.0,1,2,1.0,1.0,1.0,18,40.0,1,0.0,3,30,2,2,2,70,8,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0.74,3.13390476572,0
2,77,89,1.0,0,2,1.0,1.0,1.0,7,25.0,1,0.0,1,30,7,9,34,39,13,95.0,10.0,9.0,10.0,9.0,10.0,9.0,0,0,1,0.42,0.895293293463,0
3,100,83,1.0,1,3,1.0,1.0,1.0,17,0,1,0.0,3,30,0,0,0,260,41,97.0,10.0,10.0,10.0,10.0,9.0,9.0,0,1,1,1.18,1.97777908192,0
1,100,100,5.0,1,4,1.0,1.0,2.0,22,50.0,2,25.0,3,30,30,56,56,56,7,97.0,9.0,9.0,9.0,10.0,10.0,10.0,1,1,5,0.94,1.85914894831,0
3,100,100,1.0,1,2,1.0,1.0,1.0,13,0,1,0.0,1,30,0,0,0,183,16,94.0,10.0,10.0,10.0,10.0,9.0,9.0,0,2,1,4.32,1.99886848516,0
3,50,100,1.0,1,4,1.5,2.0,2.0,17,35.0,1,15.0,2,30,0,0,0,0,2,100.0,10.0,10.0,9.0,10.0,8.0,10.0,1,1,1,2.0,0.813987322521,1
2,100,100,1.0,1,2,1.0,1.0,1.0,20,45.0,2,0.0,2,10,18,44,49,139,23,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,1,0.86,1.99815348274,0
3,83,20,1.0,0,2,1.0,3.0,3.0,19,50.0,0,0.0,2,30,5,16,26,78,6,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,1,0.53,2.29312495113,0
