,bathrooms,bedrooms,beds,accommodates,guests_included,distance_to_dam,distance_to_metro,review_scores_accuracy,review_scores_location,review_scores_value
4381,1.0,2.0,4.0,4,2,1.80319966821,1.06039972913,10.0,10.0,10.0
10469,1.0,2.0,1.0,2,1,2.28999192182,1.69859331284,10.0,10.0,10.0
1420,1.0,1.0,1.0,2,2,0.623142123401,1.14328180015,10.0,10.0,10.0
12835,1.0,1.0,1.0,2,1,2.96737131739,0.910403412562,9.0,8.0,9.0
7328,1.0,1.0,2.0,2,1,2.07497209721,1.46097915747,10.0,10.0,10.0
4361,1.5,1.0,2.0,4,2,2.33011812629,1.43461139291,10.0,10.0,10.0
8210,1.0,2.0,2.0,4,1,2.2161680877,0.618186113405,0.0,0.0,0.0
12824,1.0,2.0,2.0,4,2,3.24356851971,0.687422897129,9.0,9.0,8.0
7249,1.0,1.0,1.0,2,1,1.87259689271,1.53220767657,9.0,9.0,9.0
8798,1.0,1.0,1.0,2,1,2.73228427195,1.25072701484,9.0,9.0,9.0
9884,2.0,1.0,1.0,2,1,4.04584811197,0.520195628671,0.0,0.0,0.0
2783,1.0,1.0,1.0,2,1,1.00104805056,1.36881361974,8.0,10.0,8.0
12751,1.0,1.0,1.0,2,2,2.52012654651,1.2925255215,8.0,8.0,8.0
11815,1.0,1.0,1.0,2,1,2.98254174189,1.14013101788,0.0,0.0,0.0
7424,1.0,1.0,2.0,3,1,1.81139771562,1.4130678179,9.0,10.0,8.0
7469,1.0,1.0,2.0,4,2,3.63575046195,0.614914175633,0.0,0.0,0.0
11348,1.0,1.0,1.0,1,1,1.89452603457,2.07751895943,10.0,10.0,10.0
10983,1.0,1.0,1.0,2,1,1.46661275803,1.80799561636,9.0,10.0,9.0
7097,1.0,1.0,1.0,2,1,1.73374093396,2.11028337132,10.0,9.0,9.0
9493,1.0,1.0,1.0,2,2,3.54373934011,0.999121030198,10.0,10.0,10.0
7787,1.0,1.0,2.0,4,1,2.34035228408,1.47493139107,10.0,9.0,10.0
11661,1.5,1.0,1.0,2,1,2.29195404377,2.04812269437,9.0,9.0,9.0
11992,1.0,1.0,1.0,2,1,2.30870301409,2.20407339524,10.0,10.0,9.0
2302,1.0,2.0,2.0,4,2,0.969218734293,1.30053179975,10.0,10.0,10.0
5854,1.0,1.0,1.0,2,1,3.87182272588,0.518184090453,10.0,9.0,10.0
12854,1.0,2.0,2.0,4,3,3.07195999786,0.909600535935,9.0,9.0,9.0
3043,1.0,1.0,1.0,2,2,3.06713504697,1.83445638567,10.0,9.0,9.0
4143,1.0,1.0,2.0,2,1,1.52927027398,1.13287572467,10.0,10.0,10.0
8941,1.0,2.0,2.0,3,1,3.97271328538,0.793204473791,0.0,0.0,0.0
1510,1.0,2.0,4.0,4,2,0.772620307191,1.16604504481,10.0,10.0,10.0
4254,1.0,2.0,2.0,4,1,1.20997456649,1.28502349769,0.0,0.0,0.0
5363,1.0,1.0,2.0,4,2,2.41019177162,0.405850986063,10.0,9.0,9.0
7122,1.0,1.0,1.0,2,1,1.99715629683,1.81379433325,9.0,9.0,9.0
3721,1.5,2.0,2.0,4,2,0.950008908878,0.928709060876,10.0,10.0,9.0
3778,1.5,2.0,4.0,4,1,1.59887565753,0.176179944233,10.0,10.0,9.0
1492,1.5,1.0,1.0,2,1,1.09182824338,1.23637564604,10.0,10.0,8.0
7734,1.0,1.0,1.0,2,1,3.31794316831,0.811866361391,10.0,10.0,10.0
11914,1.0,0.0,1.0,2,1,2.98461305115,0.996657283619,0.0,0.0,0.0
7653,1.0,1.0,4.0,4,1,3.35006353489,0.698553388146,10.0,9.0,9.0
10204,1.0,1.0,1.0,3,2,2.7362093377,1.70934651395,9.0,9.0,9.0
526,1.0,1.0,1.0,2,2,1.73327658668,1.00026579877,9.0,9.0,8.0
3567,1.0,1.0,1.0,2,1,2.77177515632,2.24582715625,0.0,0.0,0.0
6730,1.0,1.0,1.0,2,1,1.9275799835,1.96711291334,10.0,10.0,10.0
2950,1.0,0.0,2.0,3,2,1.10626525192,1.62800801315,9.0,10.0,9.0
3003,1.0,1.0,1.0,2,0,2.99920222016,1.75608885952,10.0,9.0,9.0
8361,1.0,1.0,1.0,2,1,2.10817312695,1.55872645976,0.0,0.0,0.0
3582,1.0,1.0,1.0,2,1,3.28237652418,2.1908535675,0.0,0.0,0.0
5670,1.0,1.0,1.0,2,1,2.34125381279,0.974824069942,10.0,10.0,10.0
3350,1.0,1.0,2.0,4,2,1.44559909237,0.768105135181,10.0,10.0,10.0
8171,1.5,3.0,3.0,5,2,2.31442914263,0.724817400549,10.0,10.0,8.0
13552,1.0,1.0,1.0,2,1,3.38361382814,0.743958552373,10.0,9.0,10.0
5789,1.0,1.0,2.0,3,2,2.28017441101,0.506189983656,0.0,0.0,0.0
12163,1.0,1.0,1.0,2,2,2.15729242285,1.70779198845,10.0,9.0,9.0
12837,1.0,1.0,2.0,4,2,2.21331153479,1.59805822234,10.0,9.0,9.0
12021,1.0,1.0,1.0,2,1,2.62827618523,1.60405431589,10.0,10.0,9.0
8324,1.0,1.0,1.0,2,2,2.15423009014,1.59850734705,9.0,10.0,8.0
5203,0.0,1.0,1.0,1,1,2.5904383916,0.296073709546,8.0,9.0,9.0
7931,1.0,1.0,1.0,2,1,2.20492664806,0.544631151752,0.0,0.0,0.0
12545,1.0,1.0,1.0,2,1,2.8816501117,0.953872123583,10.0,10.0,10.0
2224,1.0,1.0,1.0,2,1,0.937563819735,1.45874812266,0.0,0.0,0.0
9968,1.5,1.0,1.0,2,1,4.97724600561,1.05092458679,10.0,9.0,9.0
12583,1.0,1.0,1.0,2,0,2.38374291905,1.4210792919,10.0,9.0,9.0
9124,1.0,0.0,2.0,4,1,2.42041803231,1.59407298895,0.0,0.0,0.0
1337,1.0,1.0,2.0,3,2,0.215190549708,0.569892338329,10.0,10.0,10.0
12855,1.0,1.0,2.0,2,1,2.18767493083,1.61578731258,10.0,8.0,8.0
13675,1.0,1.0,1.0,2,1,6.89737399251,2.41070779672,0.0,0.0,0.0
7237,1.0,1.0,1.0,2,1,1.8469841257,1.96101693959,9.0,9.0,9.0
7762,1.0,2.0,4.0,4,1,3.4950692812,0.736394107898,0.0,0.0,0.0
13382,1.0,3.0,3.0,4,0,3.80181898709,0.337532577859,10.0,9.0,10.0
4346,1.0,2.0,2.0,4,0,1.08406419207,1.31776028467,9.0,10.0,9.0
6257,1.0,1.0,2.0,2,2,1.91221801576,1.90183848119,9.0,9.0,9.0
6237,1.0,1.0,1.0,2,1,1.4638094157,1.98355413882,9.0,9.0,9.0
4545,1.0,1.0,1.0,1,1,0.857739490834,0.319492811464,9.0,10.0,10.0
12571,1.0,0.0,1.0,2,1,3.29452053252,0.569883366849,10.0,8.0,10.0
6056,1.0,1.0,1.0,2,1,3.7166954542,0.380961425946,9.0,9.0,9.0
7676,1.0,1.0,1.0,2,1,1.83096208146,1.0571117813,0.0,0.0,0.0
8773,1.0,1.0,1.0,2,2,2.46478524305,1.21934458126,10.0,10.0,9.0
10288,1.0,2.0,2.0,4,2,3.06482345722,1.23925360322,10.0,9.0,9.0
4764,1.0,1.0,2.0,4,2,0.553222852872,0.375127574429,10.0,10.0,9.0
6833,1.0,1.0,1.0,2,1,1.79002793928,1.86283337426,0.0,0.0,0.0
13240,1.0,1.0,1.0,2,0,4.80384600717,1.00179778932,0.0,0.0,0.0
8923,1.0,1.0,1.0,2,1,1.99373842552,0.569197479522,9.0,9.0,9.0
7714,1.0,0.0,1.0,2,1,1.79988868463,0.912309784135,10.0,10.0,10.0
2971,1.0,1.0,1.0,2,1,2.87146010481,1.6985758775,10.0,9.0,8.0
8644,1.0,2.0,2.0,4,1,2.2291790323,1.64794055598,0.0,0.0,0.0
10838,1.0,1.0,1.0,2,1,1.28437984174,1.68468421379,10.0,10.0,9.0
1590,1.0,1.0,2.0,3,1,0.851652827888,1.01403178962,8.0,10.0,9.0
4640,1.0,1.0,1.0,2,1,0.968857398847,0.96818982166,10.0,10.0,8.0
7072,1.0,1.0,1.0,2,1,1.28573832433,1.57833988803,10.0,9.0,9.0
11191,1.5,1.0,1.0,2,1,2.46927850359,1.66457942442,0.0,0.0,0.0
6698,1.5,1.0,1.0,2,1,1.29463615107,1.7015288075,10.0,10.0,10.0
2485,1.0,1.0,1.0,2,2,1.07757647058,1.08965354297,10.0,10.0,9.0
8185,1.0,1.0,1.0,2,1,3.02781589709,0.96275320485,10.0,9.0,9.0
4464,1.0,1.0,1.0,2,1,2.45324626834,1.65389028198,10.0,9.0,9.0
8666,1.0,2.0,2.0,3,1,3.70054542303,0.255901400132,10.0,9.0,10.0
11733,1.0,1.0,2.0,4,1,2.84118722773,1.20863752604,9.0,8.0,9.0
2785,1.0,1.0,1.0,2,1,0.379414146079,0.476984971013,9.0,9.0,9.0
5158,1.0,1.0,2.0,4,2,2.82847976869,1.03074805317,10.0,9.0,8.0
6440,1.0,1.0,1.0,2,1,1.50718718641,1.79450427865,10.0,9.0,9.0
6794,1.0,1.0,1.0,2,1,1.80798272235,1.6001797049,10.0,10.0,8.0
9928,1.0,1.0,1.0,2,1,2.50145169285,1.48004461095,10.0,10.0,9.0
5308,1.0,1.0,1.0,2,1,2.99318236396,0.402058503637,10.0,9.0,9.0
12546,1.0,2.0,2.0,4,1,2.30677879311,1.50538262771,10.0,9.0,9.0
6600,1.0,1.0,1.0,2,1,1.96554299694,1.84255600261,10.0,9.0,9.0
12685,1.0,1.0,3.0,4,1,2.1222082021,1.68232288193,10.0,9.0,9.0
3232,1.0,2.0,2.0,4,3,2.18215159475,1.68890449829,10.0,8.0,10.0
2103,1.0,0.0,1.0,2,1,0.988985008603,0.88366895653,0.0,0.0,0.0
13105,1.0,1.0,1.0,2,1,2.92615762186,0.880212881558,10.0,9.0,9.0
11649,1.0,2.0,2.0,4,1,1.98031368751,1.87480868484,10.0,9.0,9.0
7796,1.0,1.0,2.0,4,1,2.30095142799,0.634191127569,10.0,9.0,10.0
12862,1.0,3.0,3.0,4,1,2.59130965538,1.22209317795,0.0,0.0,0.0
9952,1.0,1.0,1.0,3,1,4.80664046979,0.447819908071,10.0,10.0,9.0
10959,1.0,1.0,1.0,2,1,1.44408857535,1.72385369583,10.0,10.0,10.0
7790,1.0,2.0,2.0,4,2,3.40625722432,1.0933971352,10.0,10.0,10.0
11078,1.0,1.0,1.0,2,0,2.90860497682,1.25372159083,9.0,9.0,9.0
8979,1.0,1.0,1.0,2,1,3.81329962177,0.728360410918,0.0,0.0,0.0
4115,1.0,1.0,1.0,2,1,1.76822407645,1.25319188378,10.0,10.0,10.0
8544,1.0,1.0,1.0,2,1,2.85344130671,1.13493949232,0.0,0.0,0.0
9004,1.5,1.0,1.0,2,2,3.81378708907,1.02131837072,10.0,9.0,9.0
7692,1.0,1.0,1.0,2,1,2.63429791866,1.32830049105,0.0,0.0,0.0
12272,1.0,1.0,1.0,2,2,1.61601726245,1.89980678504,9.0,10.0,9.0
1220,1.0,2.0,2.0,4,2,1.73232026288,1.38469608278,10.0,10.0,10.0
1403,1.0,1.0,1.0,2,2,1.26484169704,1.0457179383,9.0,10.0,9.0
11645,2.0,1.0,1.0,2,1,3.00146291118,1.36087502876,9.0,9.0,9.0
5965,1.0,4.0,5.0,5,1,3.84375061561,1.78235856875,10.0,10.0,8.0
11087,1.0,2.0,2.0,4,1,2.49352678587,1.79984888454,10.0,9.0,9.0
1185,1.0,1.0,1.0,2,2,0.394841050492,0.786971566195,10.0,10.0,10.0
11604,1.0,1.0,1.0,2,1,2.31629595628,1.55229363042,9.0,7.0,8.0
10518,1.0,3.0,5.0,4,1,2.99378204305,1.12744435878,10.0,9.0,9.0
9126,1.0,1.0,1.0,2,1,3.38274221208,1.42665519257,10.0,10.0,9.0
7099,1.0,1.0,1.0,2,0,2.17613556125,1.63376008667,10.0,9.0,10.0
5863,1.0,1.0,1.0,2,1,3.51247003143,0.361567917056,9.0,8.0,8.0
5410,1.0,1.0,1.0,2,1,1.96539023688,0.390886826018,10.0,9.0,10.0
8841,1.5,1.0,1.0,2,1,2.72020040354,0.92417034802,0.0,0.0,0.0
11615,1.0,1.0,1.0,2,1,3.17254690416,1.18434519155,9.0,9.0,9.0
