"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"1",1,7.95882398732,2,10,8,1,1,2,0.81,8
"2",1,8.59698601436,2,10,9,1,1,1,4,9
"3",1,8.90764078213,2,10,7,3,1,1,0.48,9
"4",1,8.07495100436,3,10,10,3,1.5,1,1.62,10
"5",1,7.15252109544,1,10,8,3,1,1,0.65,9
"6",0,8.55947320098,2,0,0,4,1,2,0,0
"7",3,7.95390967691,5,10,9,2,1.5,5,0.51,10
"8",2,8.85972810328,4,10,8,1,1,2,0.5,10
"9",2,8.44433726316,4,10,10,1,1,2,1,10
"10",2,8.88739138379,4,10,10,4,1,2,0.57,10
"11",1,7.7115236655,6,0,0,4,1,3,0.07,0
"12",1,7.23171108265,2,10,8,2,1,1,0.68,8
"13",3,8.37075886385,5,0,0,1,1,3,0,0
"14",1,8.13858312951,2,10,7,3,1,1,1.48,9
"15",2,7.91160703027,4,10,10,1,1,2,3.58,10
"16",1,8.77839627316,2,10,9,1,2,1,5.45,10
"17",1,8.83047552179,1,10,9,1,2,1,3.8,10
"18",1,8.61989670535,1,7,9,4,1,1,1.53,10
"19",1,7.36190623009,2,9,8,4,1,1,0.6,9
"20",1,7.52663477873,2,0,0,3,1,1,0,0
"21",1,7.44893696379,2,7,4,4,1,1,0.38,5
"22",2,8.7567540622,4,0,0,4,1,1,0,0
"23",2,7.74523229912,4,10,9,2,1,2,1.14,10
"24",1,7.78179674591,2,10,8,2,1,1,5.37,9
"25",1,8.98501959474,2,9,9,1,1.5,1,2.05,9
"26",0,6.99642922311,2,9,8,2,1,1,3.73,9
"27",1,7.80290886232,2,10,8,1,1,1,1.68,8
"28",1,7.39448824465,1,10,8,1,1,1,3.42,9
"29",1,7.74539739532,1,0,0,4,1,1,0,0
"30",1,7.51933951137,5,7,6,1,1,3,1.24,7
"31",1,7.56029222132,2,9,8,1,2,1,3.44,9
"32",1,8.47439506845,2,0,0,2,1.5,1,0,0
"33",1,8.39743505266,3,10,9,1,1,2,0.48,9
"34",2,8.31128596599,4,10,9,1,1,3,1.12,9
"35",1,8.11362371068,2,8,8,2,1,1,2.08,9
"36",2,8.18165436237,6,0,0,1,1,2,1,0
"37",1,7.69987819121,4,10,8,1,1,2,3.54,9
"38",2,8.0850559157,4,0,0,4,1,4,0,0
"39",1,7.39181486894,2,0,0,4,1,1,0,0
"40",1,8.95100173151,2,10,8,4,1,1,2.1,9
"41",1,8.36664142941,2,10,7,1,1,1,5.33,8
"42",1,7.97554839584,1,0,0,4,1,1,0,0
"43",1,7.95626847731,2,10,8,2,1,1,2.69,9
"44",1,7.89402340045,4,9,9,3,1,3,1.02,9
"45",2,7.68650059953,4,10,9,4,1.5,2,0.46,10
"46",2,8.51755611214,4,0,0,2,1.5,2,0,0
"47",1,7.91513409743,2,10,9,4,1,1,0.26,10
"48",3,7.6801597245,4,0,0,3,1,4,0,0
"49",1,8.78231810399,2,10,9,1,1,1,4.55,10
"50",0,8.23296035262,2,10,9,1,1,1,1.92,9
"51",1,8.5971628754,2,0,0,2,1.5,1,0,0
"52",1,8.47881711405,3,10,8,2,1,2,3.8,9
"53",2,8.10938421797,4,0,0,1,1,2,0,0
"54",1,8.57177222765,2,10,9,1,1,1,3.46,9
"55",1,8.0687191861,1,10,8,1,1,1,0.9,9
"56",2,7.61452458107,4,0,0,4,1.5,2,0,0
"57",1,7.53303682824,2,0,0,1,1,1,0,0
"58",1,8.19754996738,4,0,0,4,1.5,3,0,0
"59",2,8.99036457603,2,9,8,2,1,2,5.21,9
"60",1,8.45191092744,2,0,0,2,1,1,0,0
"61",1,8.04009098128,1,9,9,1,1,1,2.67,9
"62",1,8.14803559858,4,0,0,4,1,1,0,0
"63",1,7.73764295413,2,10,8,1,1,2,5,9
"64",2,8.13901614737,4,10,10,1,1,4,1,10
"65",1,7.29930149706,2,10,8,3,1,1,0.57,8
"66",1,8.46389396045,4,10,10,1,1,2,3.42,9
"67",2,8.12104187792,5,10,8,1,0.5,3,3.85,9
"68",1,8.64020382682,2,10,6,4,1,1,0.16,8
"69",2,8.47424220736,5,10,8,2,2,2,5.65,9
"70",1,9.01622056133,2,6,6,1,1.5,1,0.75,6
"71",1,7.6430208495,2,0,0,4,1,1,0,0
"72",1,7.79494647808,2,9,8,1,1,1,1.84,9
"73",1,3.98798402051,2,0,0,4,1,1,0,0
"74",1,3.80276018495,2,0,0,4,1,1,0,0
"75",1,5.1166933652,2,10,9,3,1,1,4.84,10
"76",2,5.85397542277,5,10,9,2,1,4,1.14,9
"77",1,4.85973589557,3,10,10,2,1,2,0.51,10
"78",1,5.27066498326,3,10,9,2,1,1,0.85,9
"79",4,5.63850565147,5,0,0,4,1,4,0,0
"80",1,7.69426868762,2,0,0,1,1,1,0,0
"81",2,3.99315520769,4,0,0,2,1,2,0,0
"82",1,3.94761175701,2,10,8,1,1,1,5.08,9
"83",1,7.19228849526,4,10,9,2,1,4,1.3,9
