"","x"
"1",95
"2",60
"3",45
"4",35
"5",39
"6",80
"7",191
"8",129
"9",120
"10",111
"11",251
"12",45
"13",150
"14",30
"15",99
"16",40
"17",40
"18",29
"19",45
"20",30
"21",55
"22",130
"23",69
"24",49
"25",80
"26",52
"27",85
"28",30
"29",35
"30",100
"31",70
"32",50
"33",79
"34",120
"35",65
"36",45
"37",55
"38",120
"39",40
"40",36
"41",50
"42",27
"43",65
"44",77
"45",75
"46",99
"47",50
"48",89
"49",45
"50",100
"51",50
"52",98
"53",60
"54",45
"55",30
"56",140
"57",55
"58",75
"59",80
"60",50
"61",45
"62",93
"63",45
"64",115
"65",45
"66",75
"67",110
"68",30
"69",99
"70",70
"71",50
"72",65
"73",49
"74",75
"75",60
"76",99
"77",70
"78",90
"79",220
"80",90
"81",120
"82",45
"83",74
"84",102
"85",64
"86",125
"87",150
"88",70
"89",100
"90",150
"91",65
"92",100
"93",69
"94",120
"95",85
"96",130
"97",181
"98",90
"99",160
"100",75
"101",90
"102",90
"103",226
"104",68
"105",200
"106",70
"107",80
"108",360
"109",79
"110",85
"111",85
"112",65
"113",150
"114",150
"115",99
"116",60
"117",65
"118",80
"119",150
"120",69
"121",208
"122",140
"123",55
"124",95
"125",300
"126",111
"127",65
"128",120
"129",55
"130",171
"131",69
"132",75
"133",175
"134",120
"135",255
"136",175
"137",200
"138",60
"139",69
"140",149
"141",168
"142",68
"143",50
"144",139
"145",78
"146",91
"147",60
"148",146
"149",55
"150",100
"151",100
"152",81
"153",140
"154",100
"155",125
"156",60
"157",120
"158",50
"159",120
"160",165
"161",149
"162",125
"163",80
"164",55
"165",180
"166",169
"167",120
"168",95
"169",63
"170",149
"171",80
"172",70
"173",74
"174",90
"175",37
"176",65
"177",140
"178",175
"179",175
"180",50
"181",140
"182",140
"183",149
"184",65
"185",56
"186",150
"187",62
"188",75
"189",190
"190",45
"191",150
"192",125
"193",100
"194",49
"195",226
"196",80
"197",200
"198",181
"199",99
"200",78
"201",46
"202",53
"203",62
"204",90
"205",85
"206",60
"207",226
"208",120
"209",130
"210",80
"211",85
"212",250
"213",87
"214",112
"215",150
"216",251
"217",91
"218",130
"219",55
"220",38
"221",46
"222",80
"223",59
"224",195
"225",95
"226",100
